consent_id,customer_id,consent_status,data_scope,consent_date,expiry_date
CON_0001,CUST0001,ACTIVE,TRANSACTIONS,2026-02-17,2027-02-17
CON_0002,CUST0002,ACTIVE,TRANSACTIONS,2026-02-23,2027-02-23
CON_0003,CUST0003,ACTIVE,TRANSACTIONS,2026-02-17,2027-02-17
CON_0004,CUST0004,ACTIVE,TRANSACTIONS,2026-02-03,2027-02-03
CON_0005,CUST0005,ACTIVE,TRANSACTIONS,2026-02-03,2027-02-03
CON_0006,CUST0006,ACTIVE,TRANSACTIONS,2026-02-07,2027-02-07
CON_0007,CUST0007,ACTIVE,TRANSACTIONS,2026-02-26,2027-02-26
CON_0008,CUST0008,ACTIVE,TRANSACTIONS,2026-02-26,2027-02-26
CON_0009,CUST0009,ACTIVE,TRANSACTIONS,2026-02-22,2027-02-22
CON_0010,CUST0010,ACTIVE,TRANSACTIONS,2026-02-15,2027-02-15
CON_0011,CUST0011,ACTIVE,TRANSACTIONS,2026-02-22,2027-02-22
CON_0012,CUST0012,ACTIVE,TRANSACTIONS,2026-02-02,2027-02-02
CON_0013,CUST0013,EXPIRED,TRANSACTIONS,2026-02-21,2027-02-21
CON_0014,CUST0014,ACTIVE,TRANSACTIONS,2026-01-31,2027-01-31
CON_0015,CUST0015,ACTIVE,TRANSACTIONS,2026-02-08,2027-02-08
CON_0016,CUST0016,ACTIVE,TRANSACTIONS,2026-02-16,2027-02-16
CON_0017,CUST0017,ACTIVE,TRANSACTIONS,2026-02-12,2027-02-12
CON_0018,CUST0018,EXPIRED,TRANSACTIONS,2026-02-15,2027-02-15
CON_0019,CUST0019,ACTIVE,TRANSACTIONS,2026-02-16,2027-02-16
CON_0020,CUST0020,EXPIRED,TRANSACTIONS,2026-02-27,2027-02-27
CON_0021,CUST0021,ACTIVE,TRANSACTIONS,2026-02-28,2027-02-28
CON_0022,CUST0022,REVOKED,TRANSACTIONS,2026-02-10,2027-02-10
CON_0023,CUST0023,ACTIVE,TRANSACTIONS,2026-02-27,2027-02-27
CON_0024,CUST0024,ACTIVE,TRANSACTIONS,2026-02-09,2027-02-09
CON_0025,CUST0025,ACTIVE,TRANSACTIONS,2026-02-11,2027-02-11
CON_0026,CUST0026,ACTIVE,TRANSACTIONS,2026-02-16,2027-02-16
CON_0027,CUST0027,ACTIVE,TRANSACTIONS,2026-02-24,2027-02-24
