customer_id,behavior_type,scenario_tag,avg_monthly_income,income_day_of_month,avg_balance_low,avg_balance_high,account_age_months
CUST0001,BUSINESS_OWNER,,33278,,665,6655,19
CUST0002,EARLY_MONTH_SALARIED,,34144,3,1707,10243,8
CUST0003,BUSINESS_OWNER,,146939,,2938,29387,36
CUST0004,EARLY_MONTH_SALARIED,,52651,1,2632,15795,3
CUST0005,EARLY_MONTH_SALARIED,,40247,3,2012,12074,40
CUST0006,EARLY_MONTH_SALARIED,,38031,3,1901,11409,43
CUST0007,HIGH_SPENDER,,52493,1,524,5249,30
CUST0008,FREELANCER_IRREGULAR,,41523,,830,8304,2
CUST0009,HIGH_SPENDER,,35463,3,354,3546,29
CUST0010,MID_MONTH_SALARIED,,35189,14,1759,10556,23
CUST0011,EARLY_MONTH_SALARIED,,49898,1,2494,14969,24
CUST0012,HIGH_MANDATE_RATIO,,64565,2,3228,19369,4
CUST0013,HIGH_SPENDER,,60142,1,601,6014,26
CUST0014,EARLY_MONTH_SALARIED,,44213,3,2210,13263,41
CUST0015,HIGH_MANDATE_RATIO,,48700,3,2435,14610,14
CUST0016,HIGH_SPENDER,,28003,3,280,2800,16
CUST0017,HIGH_SPENDER,,89567,1,895,8956,16
CUST0018,HIGH_MANDATE_RATIO,,49911,2,2495,14973,31
CUST0019,BUSINESS_OWNER,,77819,,1556,15563,12
CUST0020,MID_MONTH_SALARIED,,38730,16,1936,11619,19
CUST0021,HIGH_SPENDER,,69796,3,697,6979,6
CUST0022,BUSINESS_OWNER,,52431,,1048,10486,36
CUST0023,HIGH_SPENDER,,35708,2,357,3570,26
CUST0024,MID_MONTH_SALARIED,,85646,16,4282,25693,46
CUST0025,FREELANCER_IRREGULAR,,37433,,748,7486,22
CUST0026,HIGH_MANDATE_RATIO,,75855,1,3792,22756,16
CUST0027,HIGH_MANDATE_RATIO,,77759,2,3887,23327,27
CUST0028,MID_MONTH_SALARIED,,38826,16,1941,11647,47
CUST0029,MID_MONTH_SALARIED,,67954,15,3397,20386,27
CUST0030,HIGH_MANDATE_RATIO,,67129,2,3356,20138,11
CUST0031,MID_MONTH_SALARIED,,41162,16,2058,12348,37
CUST0032,FREELANCER_IRREGULAR,,39478,,789,7895,39
CUST0033,MID_MONTH_SALARIED,,63242,15,3162,18972,25
CUST0034,EARLY_MONTH_SALARIED,,34065,3,1703,10219,33
CUST0035,EARLY_MONTH_SALARIED,,28087,1,1404,8426,11
CUST0036,BUSINESS_OWNER,,133819,,2676,26763,45
CUST0037,MID_MONTH_SALARIED,,29163,15,1458,8748,26
CUST0038,FREELANCER_IRREGULAR,,30337,,606,6067,35
CUST0039,EARLY_MONTH_SALARIED,,61256,1,3062,18376,45
CUST0040,HIGH_SPENDER,,69676,3,696,6967,19
CUST0041,HIGH_SPENDER,,47293,1,472,4729,20
CUST0042,MID_MONTH_SALARIED,,54735,14,2736,16420,48
CUST0043,HIGH_MANDATE_RATIO,,42261,3,2113,12678,13
CUST0044,FREELANCER_IRREGULAR,,18486,,369,3697,42
CUST0045,MID_MONTH_SALARIED,,66874,16,3343,20062,40
CUST0046,EARLY_MONTH_SALARIED,,49504,1,2475,14851,36
CUST0047,RECOVERABLE_PATTERN,,85452,3,4272,25635,2
CUST0048,FREELANCER_IRREGULAR,,31010,,620,6202,3
CUST0049,EARLY_MONTH_SALARIED,,48788,2,2439,14636,17
CUST0050,EARLY_MONTH_SALARIED,,82541,3,4127,24762,7
CUST0051,EARLY_MONTH_SALARIED,,56849,1,2842,17054,36
CUST0052,HIGH_SPENDER,,33414,3,334,3341,32
CUST0053,RECOVERABLE_PATTERN,,35821,2,1791,10746,35
CUST0054,HIGH_MANDATE_RATIO,,52730,1,2636,15819,36
CUST0055,HIGH_SPENDER,,70211,1,702,7021,47
CUST0056,MID_MONTH_SALARIED,,69019,16,3450,20705,25
CUST0057,MID_MONTH_SALARIED,,58919,15,2945,17675,9
CUST0058,EARLY_MONTH_SALARIED,,29196,2,1459,8758,3
CUST0059,FREELANCER_IRREGULAR,,22540,,450,4508,39
CUST0060,EARLY_MONTH_SALARIED,,29652,3,1482,8895,42
CUST0061,EARLY_MONTH_SALARIED,,29417,1,1470,8825,23
CUST0062,EARLY_MONTH_SALARIED,,40597,2,2029,12179,44
CUST0063,FREELANCER_IRREGULAR,,32669,,653,6533,10
CUST0064,HIGH_SPENDER,,82827,3,828,8282,38
CUST0065,FREELANCER_IRREGULAR,,40710,,814,8142,32
CUST0066,HIGH_MANDATE_RATIO,,37478,1,1873,11243,8
CUST0067,BUSINESS_OWNER,,76438,,1528,15287,29
CUST0068,MID_MONTH_SALARIED,,81612,16,4080,24483,5
CUST0069,BUSINESS_OWNER,,114696,,2293,22939,8
CUST0070,EARLY_MONTH_SALARIED,,72724,2,3636,21817,8
CUST0071,EARLY_MONTH_SALARIED,,37465,3,1873,11239,30
CUST0072,EARLY_MONTH_SALARIED,,37025,2,1851,11107,31
CUST0073,EARLY_MONTH_SALARIED,,85507,1,4275,25652,30
CUST0074,HIGH_MANDATE_RATIO,,81096,3,4054,24328,8
CUST0075,EARLY_MONTH_SALARIED,,60427,1,3021,18128,7
CUST0076,RECOVERABLE_PATTERN,,80620,1,4031,24186,12
CUST0077,MID_MONTH_SALARIED,,56546,14,2827,16963,27
CUST0078,RECOVERABLE_PATTERN,,35789,2,1789,10736,2
CUST0079,RECOVERABLE_PATTERN,,42380,2,2119,12714,20
CUST0080,MID_MONTH_SALARIED,,87738,16,4386,26321,37
CUST0081,BUSINESS_OWNER,,93788,,1875,18757,11
CUST0082,EARLY_MONTH_SALARIED,,39267,1,1963,11780,39
CUST0083,HIGH_SPENDER,,28994,3,289,2899,22
CUST0084,EARLY_MONTH_SALARIED,,63284,2,3164,18985,34
CUST0085,RECOVERABLE_PATTERN,,59807,1,2990,17942,5
CUST0086,RECOVERABLE_PATTERN,,30250,1,1512,9075,6
CUST0087,FREELANCER_IRREGULAR,,37125,,742,7425,17
CUST0088,MID_MONTH_SALARIED,,86708,16,4335,26012,17
CUST0089,FREELANCER_IRREGULAR,,16302,,326,3260,41
CUST0090,EARLY_MONTH_SALARIED,,68081,3,3404,20424,38
CUST0091,FREELANCER_IRREGULAR,,23544,,470,4708,15
CUST0092,BUSINESS_OWNER,,71180,,1423,14236,17
CUST0093,MID_MONTH_SALARIED,,33577,16,1678,10073,43
CUST0094,MID_MONTH_SALARIED,,45720,14,2286,13716,2
CUST0095,MID_MONTH_SALARIED,,61896,14,3094,18568,6
CUST0096,FREELANCER_IRREGULAR,,31576,,631,6315,18
CUST0097,EARLY_MONTH_SALARIED,,47872,1,2393,14361,17
CUST0098,MID_MONTH_SALARIED,,35338,15,1766,10601,36
CUST0099,HIGH_SPENDER,,65086,3,650,6508,35
CUST0100,EARLY_MONTH_SALARIED,,78549,3,3927,23564,21
CUST0101,RECOVERABLE_PATTERN,,31788,1,1589,9536,18
CUST0102,EARLY_MONTH_SALARIED,,32014,3,1600,9604,37
CUST0103,EARLY_MONTH_SALARIED,,43465,3,2173,13039,15
CUST0104,HIGH_SPENDER,,38342,3,383,3834,42
CUST0105,HIGH_MANDATE_RATIO,,58122,2,2906,17436,18
CUST0106,RECOVERABLE_PATTERN,,80450,1,4022,24135,7
CUST0107,BUSINESS_OWNER,,138704,,2774,27740,19
CUST0108,EARLY_MONTH_SALARIED,,46859,1,2342,14057,42
CUST0109,RECOVERABLE_PATTERN,,35589,3,1779,10676,30
CUST0110,FREELANCER_IRREGULAR,,29014,,580,5802,37
CUST0111,EARLY_MONTH_SALARIED,,29931,3,1496,8979,11
CUST0112,FREELANCER_IRREGULAR,,42348,,846,8469,25
CUST0113,FREELANCER_IRREGULAR,,19852,,397,3970,29
CUST0114,EARLY_MONTH_SALARIED,,45202,2,2260,13560,4
CUST0115,HIGH_MANDATE_RATIO,,38767,3,1938,11630,17
CUST0116,BUSINESS_OWNER,,76357,,1527,15271,37
CUST0117,HIGH_MANDATE_RATIO,,51632,3,2581,15489,11
CUST0118,RECOVERABLE_PATTERN,,40514,1,2025,12154,13
CUST0119,HIGH_MANDATE_RATIO,,26624,1,1331,7987,23
CUST0120,HIGH_SPENDER,,51982,3,519,5198,17
CUST0121,MID_MONTH_SALARIED,,76601,16,3830,22980,8
