attempt_id,mandate_id,customer_id,merchant_name,scheduled_date,attempt_date,attempt_number,amount_required,balance_at_attempt,status,failure_reason,ground_truth_retry_date,ground_truth_recoverable
ATMPT00001,MNDT00001,CUST0001,Health Insurance,2026-03-01,2026-03-01,1,1850,4160,SUCCESS,,,FALSE
ATMPT00002,MNDT00001,CUST0001,Health Insurance,2026-04-01,2026-04-01,1,1850,31376,SUCCESS,,,FALSE
ATMPT00003,MNDT00001,CUST0001,Health Insurance,2026-05-01,2026-05-01,1,1850,8851,SUCCESS,,,FALSE
ATMPT00004,MNDT00001,CUST0001,Health Insurance,2026-06-01,2026-06-01,1,1850,15704,SUCCESS,,,FALSE
ATMPT00005,MNDT00001,CUST0001,Health Insurance,2026-07-01,2026-07-01,1,1850,193,FAILED,INSUFFICIENT_BALANCE,2026-07-30,TRUE
ATMPT00006,MNDT00001,CUST0001,Health Insurance,2026-07-01,2026-07-03,2,1850,193,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00007,MNDT00001,CUST0001,Health Insurance,2026-07-01,2026-07-05,3,1850,193,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00008,MNDT00001,CUST0001,Health Insurance,2026-08-01,2026-08-01,1,1850,6095,SUCCESS,,,FALSE
ATMPT00009,MNDT00002,CUST0002,Zomato Gold,2026-03-22,2026-03-22,1,299,24205,SUCCESS,,,FALSE
ATMPT00010,MNDT00002,CUST0002,Zomato Gold,2026-04-22,2026-04-22,1,299,34987,SUCCESS,,,FALSE
ATMPT00011,MNDT00002,CUST0002,Zomato Gold,2026-05-22,2026-05-22,1,299,54869,SUCCESS,,,FALSE
ATMPT00012,MNDT00002,CUST0002,Zomato Gold,2026-06-22,2026-06-22,1,299,76316,SUCCESS,,,FALSE
ATMPT00013,MNDT00002,CUST0002,Zomato Gold,2026-07-22,2026-07-22,1,299,84990,SUCCESS,,,FALSE
ATMPT00014,MNDT00002,CUST0002,Zomato Gold,2026-08-22,2026-08-22,1,299,89718,SUCCESS,,,FALSE
ATMPT00015,MNDT00003,CUST0002,Personal Loan EMI,2026-03-04,2026-03-04,1,8500,38318,FAILED,TECHNICAL_FAILURE,2026-03-05,TRUE
ATMPT00016,MNDT00003,CUST0002,Personal Loan EMI,2026-03-04,2026-03-06,2,8500,37116,SUCCESS,,,
ATMPT00017,MNDT00003,CUST0002,Personal Loan EMI,2026-04-04,2026-04-04,1,8500,55605,SUCCESS,,,FALSE
ATMPT00018,MNDT00003,CUST0002,Personal Loan EMI,2026-05-04,2026-05-04,1,8500,64541,SUCCESS,,,FALSE
ATMPT00019,MNDT00003,CUST0002,Personal Loan EMI,2026-06-04,2026-06-04,1,8500,82339,SUCCESS,,,FALSE
ATMPT00020,MNDT00003,CUST0002,Personal Loan EMI,2026-07-04,2026-07-04,1,8500,105594,SUCCESS,,,FALSE
ATMPT00021,MNDT00003,CUST0002,Personal Loan EMI,2026-08-04,2026-08-04,1,8500,113833,FAILED,BANK_DECLINED,2026-08-05,TRUE
ATMPT00022,MNDT00003,CUST0002,Personal Loan EMI,2026-08-04,2026-08-06,2,8500,105171,SUCCESS,,,
ATMPT00023,MNDT00004,CUST0003,LIC Premium,2026-03-16,2026-03-16,1,2499,146715,SUCCESS,,,FALSE
ATMPT00024,MNDT00004,CUST0003,LIC Premium,2026-04-16,2026-04-16,1,2499,126557,SUCCESS,,,FALSE
ATMPT00025,MNDT00004,CUST0003,LIC Premium,2026-05-16,2026-05-16,1,2499,242144,SUCCESS,,,FALSE
ATMPT00026,MNDT00004,CUST0003,LIC Premium,2026-06-16,2026-06-16,1,2499,219574,SUCCESS,,,FALSE
ATMPT00027,MNDT00004,CUST0003,LIC Premium,2026-07-16,2026-07-16,1,2499,226899,SUCCESS,,,FALSE
ATMPT00028,MNDT00004,CUST0003,LIC Premium,2026-08-16,2026-08-16,1,2499,307937,SUCCESS,,,FALSE
ATMPT00029,MNDT00005,CUST0004,LIC Premium,2026-03-19,2026-03-19,1,2499,56319,SUCCESS,,,FALSE
ATMPT00030,MNDT00005,CUST0004,LIC Premium,2026-04-19,2026-04-19,1,2499,74980,SUCCESS,,,FALSE
ATMPT00031,MNDT00005,CUST0004,LIC Premium,2026-05-19,2026-05-19,1,2499,92746,SUCCESS,,,FALSE
ATMPT00032,MNDT00005,CUST0004,LIC Premium,2026-06-19,2026-06-19,1,2499,133749,SUCCESS,,,FALSE
ATMPT00033,MNDT00005,CUST0004,LIC Premium,2026-07-19,2026-07-19,1,2499,167536,SUCCESS,,,FALSE
ATMPT00034,MNDT00005,CUST0004,LIC Premium,2026-08-19,2026-08-19,1,2499,187383,SUCCESS,,,FALSE
ATMPT00035,MNDT00007,CUST0005,Netflix,2026-03-04,2026-03-04,1,199,43815,SUCCESS,,,FALSE
ATMPT00036,MNDT00007,CUST0005,Netflix,2026-04-04,2026-04-04,1,199,57255,SUCCESS,,,FALSE
ATMPT00037,MNDT00007,CUST0005,Netflix,2026-05-04,2026-05-04,1,199,76167,SUCCESS,,,FALSE
