recovery_id,attempt_id,customer_id,predicted_retry_date,recovery_probability,recommended_action,customer_response,scheduled_retry_date,actual_retry_result
REC00001,ATMPT00005,CUST0001,2026-07-30,0.59,RESCHEDULE,ACCEPTED,2026-07-30,SUCCESS
REC00002,ATMPT00015,CUST0002,2026-03-05,0.75,RETRY_NOW,ACCEPTED,2026-03-05,SUCCESS
REC00003,ATMPT00021,CUST0002,2026-08-05,0.91,RETRY_NOW,ACCEPTED,2026-08-05,SUCCESS
REC00004,ATMPT00044,CUST0006,2026-06-05,0.89,RETRY_NOW,ACCEPTED,2026-06-05,SUCCESS
REC00005,ATMPT00050,CUST0007,2026-05-02,0.76,RETRY_NOW,ACCEPTED,2026-05-02,SUCCESS
REC00006,ATMPT00065,CUST0007,2026-07-12,0.82,RETRY_NOW,ACCEPTED,2026-07-12,SUCCESS
REC00007,ATMPT00074,CUST0009,2026-03-14,0.84,RETRY_NOW,ACCEPTED,2026-03-14,SUCCESS
REC00008,ATMPT00081,CUST0010,2026-03-05,0.88,RETRY_NOW,ACCEPTED,2026-03-05,SUCCESS
REC00009,ATMPT00132,CUST0015,2026-05-16,0.78,RETRY_NOW,ACCEPTED,2026-05-16,SUCCESS
REC00010,ATMPT00138,CUST0016,2026-05-03,0.68,RESCHEDULE,ACCEPTED,2026-05-03,SUCCESS
REC00011,ATMPT00141,CUST0016,2026-06-03,0.63,RESCHEDULE,ACCEPTED,2026-06-03,SUCCESS
REC00012,ATMPT00146,CUST0016,,0.06,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00013,ATMPT00149,CUST0016,2026-03-03,0.88,RESCHEDULE,ACCEPTED,2026-03-03,SUCCESS
REC00014,ATMPT00151,CUST0016,2026-04-03,0.86,RESCHEDULE,ACCEPTED,2026-04-03,SUCCESS
REC00015,ATMPT00153,CUST0016,2026-05-03,0.92,RESCHEDULE,DECLINED,,NOT_ATTEMPTED
REC00016,ATMPT00155,CUST0016,2026-06-03,0.87,RESCHEDULE,ACCEPTED,2026-06-03,SUCCESS
REC00017,ATMPT00158,CUST0016,2026-08-03,0.86,RESCHEDULE,ACCEPTED,2026-08-03,SUCCESS
REC00018,ATMPT00162,CUST0016,2026-06-03,0.78,RESCHEDULE,NO_RESPONSE,,NOT_ATTEMPTED
REC00019,ATMPT00165,CUST0016,,0.05,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00020,ATMPT00168,CUST0016,,0.07,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00021,ATMPT00178,CUST0017,2026-04-22,0.92,RETRY_NOW,ACCEPTED,2026-04-22,SUCCESS
REC00022,ATMPT00189,CUST0018,2026-08-22,0.85,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00023,ATMPT00191,CUST0019,2026-03-22,0.79,RETRY_NOW,ACCEPTED,2026-03-22,SUCCESS
REC00024,ATMPT00198,CUST0020,,0.0,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00025,ATMPT00199,CUST0020,2026-03-16,0.88,RESCHEDULE,ACCEPTED,2026-03-16,SUCCESS
REC00026,ATMPT00206,CUST0020,2026-08-12,0.83,RETRY_NOW,ACCEPTED,2026-08-12,SUCCESS
REC00027,ATMPT00212,CUST0021,2026-07-03,0.85,RETRY_NOW,ACCEPTED,2026-07-03,SUCCESS
REC00028,ATMPT00221,CUST0023,,0.04,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00029,ATMPT00228,CUST0024,2026-03-02,0.91,RETRY_NOW,ACCEPTED,2026-03-02,SUCCESS
REC00030,ATMPT00233,CUST0024,,0.09,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00031,ATMPT00242,CUST0024,2026-03-04,0.85,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00032,ATMPT00255,CUST0025,2026-03-10,0.68,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00033,ATMPT00280,CUST0027,2026-03-10,0.88,RETRY_NOW,ACCEPTED,2026-03-10,SUCCESS
REC00034,ATMPT00283,CUST0027,2026-05-10,0.66,RETRY_NOW,ACCEPTED,2026-05-10,SUCCESS
REC00035,ATMPT00295,CUST0028,2026-04-03,0.71,RETRY_NOW,ACCEPTED,2026-04-03,SUCCESS
REC00036,ATMPT00298,CUST0028,2026-06-03,0.9,RETRY_NOW,NO_RESPONSE,,NOT_ATTEMPTED
REC00037,ATMPT00302,CUST0028,2026-03-16,0.68,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00038,ATMPT00307,CUST0028,,0.06,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00039,ATMPT00318,CUST0029,2026-05-12,0.89,RETRY_NOW,NO_RESPONSE,,NOT_ATTEMPTED
REC00040,ATMPT00335,CUST0031,,0.04,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00041,ATMPT00337,CUST0032,2026-04-25,0.82,RETRY_NOW,ACCEPTED,2026-04-25,SUCCESS
REC00042,ATMPT00342,CUST0032,2026-08-25,0.69,RETRY_NOW,NO_RESPONSE,,NOT_ATTEMPTED
REC00043,ATMPT00350,CUST0033,,0.1,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00044,ATMPT00361,CUST0034,2026-07-18,0.81,RETRY_NOW,ACCEPTED,2026-07-18,SUCCESS
REC00045,ATMPT00388,CUST0037,2026-03-15,0.79,RESCHEDULE,ACCEPTED,2026-03-15,SUCCESS
REC00046,ATMPT00402,CUST0038,2026-04-05,0.58,RESCHEDULE,ACCEPTED,2026-04-05,SUCCESS
REC00047,ATMPT00405,CUST0038,2026-05-11,0.57,RESCHEDULE,ACCEPTED,2026-05-11,SUCCESS
REC00048,ATMPT00411,CUST0038,,0.07,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00049,ATMPT00414,CUST0038,2026-04-05,0.82,RESCHEDULE,ACCEPTED,2026-04-05,SUCCESS
REC00050,ATMPT00417,CUST0038,2026-05-11,0.7,RESCHEDULE,DECLINED,,NOT_ATTEMPTED
REC00051,ATMPT00422,CUST0038,2026-07-26,0.83,RETRY_NOW,ACCEPTED,2026-07-26,SUCCESS
REC00052,ATMPT00441,CUST0039,2026-07-02,0.92,RETRY_NOW,NO_RESPONSE,,NOT_ATTEMPTED
