transaction_id,customer_id,date,type,category,amount,balance_after
TXN000001_CUST0001,CUST0001,2026-03-03,debit,utility_bill,1285,2875
TXN000002_CUST0001,CUST0001,2026-03-05,debit,groceries,1320,1555
TXN000003_CUST0001,CUST0001,2026-03-07,debit,utility_bill,1026,529
TXN000004_CUST0001,CUST0001,2026-03-14,credit,transfer_in,9674,10203
TXN000005_CUST0001,CUST0001,2026-03-18,debit,entertainment,2139,8064
TXN000006_CUST0001,CUST0001,2026-03-19,credit,transfer_in,9465,17529
TXN000007_CUST0001,CUST0001,2026-03-20,debit,entertainment,672,16857
TXN000008_CUST0001,CUST0001,2026-03-24,debit,p2p,1702,15155
TXN000009_CUST0001,CUST0001,2026-03-30,credit,transfer_in,17662,32817
TXN000010_CUST0001,CUST0001,2026-03-30,debit,groceries,314,32503
TXN000011_CUST0001,CUST0001,2026-04-01,debit,utility_bill,1127,31376
TXN000012_CUST0001,CUST0001,2026-04-03,debit,p2p,1660,29716
TXN000013_CUST0001,CUST0001,2026-04-05,debit,utility_bill,1424,28292
TXN000014_CUST0001,CUST0001,2026-04-05,debit,rent,3420,24872
TXN000015_CUST0001,CUST0001,2026-04-08,debit,utility_bill,567,24305
TXN000016_CUST0001,CUST0001,2026-04-09,debit,groceries,2468,21837
TXN000017_CUST0001,CUST0001,2026-04-10,debit,entertainment,1667,20170
TXN000018_CUST0001,CUST0001,2026-04-12,credit,transfer_in,10583,30753
TXN000019_CUST0001,CUST0001,2026-04-15,debit,p2p,2354,28399
TXN000020_CUST0001,CUST0001,2026-04-18,debit,groceries,1292,27107
TXN000021_CUST0001,CUST0001,2026-04-19,debit,entertainment,2484,24623
TXN000022_CUST0001,CUST0001,2026-04-20,debit,rent,8325,16298
TXN000023_CUST0001,CUST0001,2026-04-21,debit,p2p,1544,14754
TXN000024_CUST0001,CUST0001,2026-04-24,debit,utility_bill,1814,12940
TXN000025_CUST0001,CUST0001,2026-04-28,debit,utility_bill,1404,11536
TXN000026_CUST0001,CUST0001,2026-04-30,debit,p2p,1591,9945
TXN000027_CUST0001,CUST0001,2026-05-01,debit,p2p,1094,8851
TXN000028_CUST0001,CUST0001,2026-05-02,debit,groceries,2344,6507
TXN000029_CUST0001,CUST0001,2026-05-07,debit,p2p,884,5623
TXN000030_CUST0001,CUST0001,2026-05-09,debit,groceries,2416,3207
TXN000031_CUST0001,CUST0001,2026-05-12,debit,p2p,2072,1135
TXN000032_CUST0001,CUST0001,2026-05-17,credit,transfer_in,6977,8112
TXN000033_CUST0001,CUST0001,2026-05-26,debit,groceries,793,7319
TXN000034_CUST0001,CUST0001,2026-05-30,credit,transfer_in,8826,16145
TXN000035_CUST0001,CUST0001,2026-05-30,debit,entertainment,441,15704
TXN000036_CUST0001,CUST0001,2026-06-05,debit,utility_bill,1409,14295
TXN000037_CUST0001,CUST0001,2026-06-12,debit,utility_bill,234,14061
TXN000038_CUST0001,CUST0001,2026-06-14,debit,utility_bill,2077,11984
TXN000039_CUST0001,CUST0001,2026-06-19,debit,groceries,808,11176
TXN000040_CUST0001,CUST0001,2026-06-20,debit,rent,9561,1615
TXN000041_CUST0001,CUST0001,2026-06-22,debit,p2p,624,991
TXN000042_CUST0001,CUST0001,2026-06-30,debit,utility_bill,798,193
TXN000043_CUST0001,CUST0001,2026-07-30,credit,transfer_in,5902,6095
TXN000044_CUST0001,CUST0001,2026-08-05,credit,transfer_in,15589,21684
TXN000045_CUST0001,CUST0001,2026-08-05,debit,p2p,1914,19770
TXN000046_CUST0001,CUST0001,2026-08-05,debit,rent,11702,8068
TXN000047_CUST0001,CUST0001,2026-08-07,debit,entertainment,1136,6932
TXN000048_CUST0001,CUST0001,2026-08-14,debit,entertainment,1174,5758
TXN000049_CUST0001,CUST0001,2026-08-15,debit,entertainment,2129,3629
TXN000050_CUST0001,CUST0001,2026-08-17,debit,p2p,239,3390
TXN000051_CUST0001,CUST0001,2026-08-22,debit,p2p,1047,2343
TXN000052_CUST0001,CUST0001,2026-08-27,debit,entertainment,286,2057
TXN000001_CUST0002,CUST0002,2026-03-02,debit,p2p,1488,6196
TXN000002_CUST0002,CUST0002,2026-03-03,credit,salary,34481,40677
TXN000003_CUST0002,CUST0002,2026-03-03,debit,utility_bill,2359,38318
TXN000004_CUST0002,CUST0002,2026-03-06,debit,utility_bill,1202,37116
TXN000005_CUST0002,CUST0002,2026-03-10,debit,p2p,621,36495
TXN000006_CUST0002,CUST0002,2026-03-12,debit,utility_bill,1777,34718
TXN000007_CUST0002,CUST0002,2026-03-17,debit,groceries,2012,32706
TXN000008_CUST0002,CUST0002,2026-03-20,debit,entertainment,1671,31035
TXN000009_CUST0002,CUST0002,2026-03-20,debit,rent,6830,24205
TXN000010_CUST0002,CUST0002,2026-03-24,debit,utility_bill,408,23797
TXN000011_CUST0002,CUST0002,2026-03-29,debit,groceries,302,23495
TXN000012_CUST0002,CUST0002,2026-03-30,debit,entertainment,625,22870
TXN000013_CUST0002,CUST0002,2026-03-31,debit,utility_bill,1741,21129
TXN000014_CUST0002,CUST0002,2026-04-03,credit,salary,34476,55605
TXN000015_CUST0002,CUST0002,2026-04-05,debit,rent,9797,45808
TXN000016_CUST0002,CUST0002,2026-04-10,debit,p2p,1039,44769
TXN000017_CUST0002,CUST0002,2026-04-14,debit,p2p,2380,42389
TXN000018_CUST0002,CUST0002,2026-04-17,debit,p2p,927,41462
TXN000019_CUST0002,CUST0002,2026-04-20,debit,rent,6475,34987
TXN000020_CUST0002,CUST0002,2026-04-23,debit,p2p,1147,33840
TXN000021_CUST0002,CUST0002,2026-04-26,debit,utility_bill,1034,32806
TXN000022_CUST0002,CUST0002,2026-04-28,debit,utility_bill,161,32645
TXN000023_CUST0002,CUST0002,2026-04-29,debit,utility_bill,682,31963
TXN000024_CUST0002,CUST0002,2026-05-02,debit,groceries,689,31274
TXN000025_CUST0002,CUST0002,2026-05-03,credit,salary,33481,64755
TXN000026_CUST0002,CUST0002,2026-05-04,debit,p2p,214,64541
TXN000027_CUST0002,CUST0002,2026-05-05,debit,groceries,669,63872
TXN000028_CUST0002,CUST0002,2026-05-11,debit,utility_bill,327,63545
TXN000029_CUST0002,CUST0002,2026-05-15,debit,groceries,399,63146
TXN000030_CUST0002,CUST0002,2026-05-19,debit,entertainment,451,62695
TXN000031_CUST0002,CUST0002,2026-05-20,debit,rent,5430,57265
TXN000032_CUST0002,CUST0002,2026-05-21,debit,p2p,2396,54869
TXN000033_CUST0002,CUST0002,2026-05-25,debit,entertainment,556,54313
TXN000034_CUST0002,CUST0002,2026-05-27,debit,utility_bill,1911,52402
TXN000035_CUST0002,CUST0002,2026-05-29,debit,p2p,2007,50395
TXN000036_CUST0002,CUST0002,2026-06-01,debit,p2p,1194,49201
TXN000037_CUST0002,CUST0002,2026-06-03,credit,salary,33669,82870
TXN000038_CUST0002,CUST0002,2026-06-04,debit,groceries,531,82339
TXN000039_CUST0002,CUST0002,2026-06-07,debit,groceries,2450,79889
TXN000040_CUST0002,CUST0002,2026-06-15,debit,p2p,1429,78460
TXN000041_CUST0002,CUST0002,2026-06-18,debit,entertainment,1068,77392
TXN000042_CUST0002,CUST0002,2026-06-21,debit,p2p,1076,76316
TXN000043_CUST0002,CUST0002,2026-06-28,debit,p2p,268,76048
TXN000044_CUST0002,CUST0002,2026-06-29,debit,p2p,1541,74507
TXN000045_CUST0002,CUST0002,2026-07-01,debit,utility_bill,2469,72038
TXN000046_CUST0002,CUST0002,2026-07-03,credit,salary,33556,105594
TXN000047_CUST0002,CUST0002,2026-07-05,debit,utility_bill,1690,103904
TXN000048_CUST0002,CUST0002,2026-07-05,debit,rent,8585,95319
TXN000049_CUST0002,CUST0002,2026-07-06,debit,p2p,1478,93841
TXN000050_CUST0002,CUST0002,2026-07-09,debit,groceries,787,93054
TXN000051_CUST0002,CUST0002,2026-07-10,debit,groceries,484,92570
TXN000052_CUST0002,CUST0002,2026-07-11,debit,entertainment,2139,90431
TXN000053_CUST0002,CUST0002,2026-07-14,debit,groceries,1563,88868
TXN000054_CUST0002,CUST0002,2026-07-16,debit,entertainment,2308,86560
TXN000055_CUST0002,CUST0002,2026-07-18,debit,entertainment,374,86186
TXN000056_CUST0002,CUST0002,2026-07-19,debit,p2p,1015,85171
TXN000057_CUST0002,CUST0002,2026-07-21,debit,groceries,181,84990
TXN000058_CUST0002,CUST0002,2026-07-24,debit,utility_bill,2199,82791
TXN000059_CUST0002,CUST0002,2026-08-01,debit,p2p,1908,80883
TXN000060_CUST0002,CUST0002,2026-08-03,credit,salary,34430,115313
TXN000061_CUST0002,CUST0002,2026-08-04,debit,groceries,1480,113833
TXN000062_CUST0002,CUST0002,2026-08-05,debit,entertainment,1632,112201
TXN000063_CUST0002,CUST0002,2026-08-05,debit,rent,4734,107467
TXN000064_CUST0002,CUST0002,2026-08-06,debit,entertainment,2296,105171
TXN000065_CUST0002,CUST0002,2026-08-07,debit,p2p,1540,103631
TXN000066_CUST0002,CUST0002,2026-08-08,debit,utility_bill,462,103169
TXN000067_CUST0002,CUST0002,2026-08-10,debit,utility_bill,1581,101588
TXN000068_CUST0002,CUST0002,2026-08-14,debit,groceries,749,100839
TXN000069_CUST0002,CUST0002,2026-08-15,debit,utility_bill,776,100063
TXN000070_CUST0002,CUST0002,2026-08-18,debit,entertainment,2050,98013
TXN000071_CUST0002,CUST0002,2026-08-20,debit,rent,8295,89718
TXN000072_CUST0002,CUST0002,2026-08-23,debit,groceries,2070,87648
TXN000073_CUST0002,CUST0002,2026-08-25,debit,p2p,380,87268
TXN000074_CUST0002,CUST0002,2026-08-27,debit,entertainment,2001,85267
TXN000001_CUST0003,CUST0003,2026-03-01,credit,transfer_in,70924,75094
TXN000002_CUST0003,CUST0003,2026-03-01,debit,groceries,2226,72868
TXN000003_CUST0003,CUST0003,2026-03-04,credit,transfer_in,75470,148338
TXN000004_CUST0003,CUST0003,2026-03-08,debit,utility_bill,310,148028
TXN000005_CUST0003,CUST0003,2026-03-15,debit,entertainment,1313,146715
TXN000006_CUST0003,CUST0003,2026-03-18,debit,utility_bill,1582,145133
TXN000007_CUST0003,CUST0003,2026-03-20,debit,groceries,1418,143715
TXN000008_CUST0003,CUST0003,2026-03-21,debit,utility_bill,2306,141409
TXN000009_CUST0003,CUST0003,2026-03-23,debit,p2p,888,140521
TXN000010_CUST0003,CUST0003,2026-03-24,debit,entertainment,936,139585
TXN000011_CUST0003,CUST0003,2026-03-25,debit,groceries,1361,138224
TXN000012_CUST0003,CUST0003,2026-03-26,debit,groceries,1529,136695
TXN000013_CUST0003,CUST0003,2026-03-28,debit,utility_bill,828,135867
TXN000014_CUST0003,CUST0003,2026-03-29,debit,p2p,1122,134745
TXN000015_CUST0003,CUST0003,2026-04-01,debit,entertainment,944,133801
TXN000016_CUST0003,CUST0003,2026-04-06,debit,p2p,363,133438
TXN000017_CUST0003,CUST0003,2026-04-08,debit,groceries,1317,132121
TXN000018_CUST0003,CUST0003,2026-04-09,debit,entertainment,2252,129869
TXN000019_CUST0003,CUST0003,2026-04-11,debit,entertainment,1581,128288
TXN000020_CUST0003,CUST0003,2026-04-14,debit,utility_bill,265,128023
TXN000021_CUST0003,CUST0003,2026-04-15,debit,p2p,748,127275
TXN000022_CUST0003,CUST0003,2026-04-16,debit,entertainment,718,126557
